countryCode,countryName,lngYear,notes
ARG,Argentina,"2018, 2017, 2016",
BHS,Bahamas,"2018, 2017",
BRB,Barbados,"2018, 2017, 2016",
BRA,Brazil,"2018, 2017, 2016",
CAN,Canada,"2018, 2017, 2016, 2015, 2014, 2013",Canada also receives natural gas exports from the U.S. via pipelines and as compressed natural gas (CNG).
CHL,Chile,"2018, 2017, 2016",
CHN,China,"2018, 2017, 2016",
COL,Colombia,2018,
DOM,Dominican Republic,"2018, 2017, 2016",
EGY,Egypt,"2018, 2017, 2016",
FRA,France,2018,
GRC,Greece,2018,
IND,India,"2018, 2017, 2016",
ISR,Israel,2018,
ITA,Italy,"2018, 2017, 2016",
JAM,Jamaica,2018,
JPN,Japan,"2018, 2017, 2016, 2015, 2014",
JOR,Jordan,"2018, 2017, 2016",
KWT,Kuwait,"2018, 2017, 2016",
LTU,Lithuania,2017,
MLT,Malta,"2018, 2017",
MEX,Mexico,"2018, 2017, 2016, 2015, 2014, 2013",Mexico also receives natural gas exports from the U.S. via pipelines.
NLD,Netherlands,"2018, 2017",
PAK,Pakistan,"2018, 2017",
PAN,Panama,2018,
POL,Poland,"2018, 2017",
PRT,Portugal,"2018, 2017, 2016",
SGP,Singapore,2018,
KOR,South Korea,"2018, 2017, 2016",
ESP,Spain,"2018, 2017, 2016",
TWN,Taiwan,"2018, 2017, 2015",
THA,Thailand,2017,
TUR,Turkey,"2018, 2017, 2016",
ARE,United Arab Emirates,"2018, 2017, 2016",
GBR,United Kingdom,"2018, 2017",
